url,digg_count,play_count,share_count,repost_count,collect_count,comment_count,video_id,author_id,duration,description,create_time,author_unique_id,location_created
https://www.tiktok.com/@zachking/video/100116967235219456,857800,1700000,476,0,335,1508,100116967235219456,68616495085350913,0,When it's trash night at my house #dailylife,1464212460,zachking,
https://www.tiktok.com/@zachking/video/116445712837398528,1100000,2000000,637,0,467,1988,116445712837398528,68616495085350913,15,#MamaSaid to always be a gentleman ,1468105536,zachking,
https://www.tiktok.com/@zachking/video/116572195421646848,1000000,2100000,790,0,455,2683,116572195421646848,68616495085350913,11,I've got #NoMoney ...oh wait,1468135692,zachking,
https://www.tiktok.com/@zachking/video/118588521136766976,1200000,2600000,3157,0,1616,7378,118588521136766976,68616495085350913,13,#PikachuBeatDrop I found a pikachu,1468616422,zachking,
https://www.tiktok.com/@zachking/video/121446730818019328,806700,2300000,831,0,513,2287,121446730818019328,68616495085350913,15,My heart will go on forever #badflutesong,1469297872,zachking,
https://www.tiktok.com/@zachking/video/124287844486971392,942100,2200000,828,0,503,2440,124287844486971392,68616495085350913,11,My greatest party trick #summerjob,1469975246,zachking,
https://www.tiktok.com/@zachking/video/132634452391772160,729600,2700000,299,0,203,1055,132634452391772160,68616495085350913,9,"Be the first to see my newest youtube video on my channel ""ZachKingVine"".",1471965233,zachking,
https://www.tiktok.com/@zachking/video/136665378432192512,1000000,3200000,1162,0,414,2197,136665378432192512,68616495085350913,11,Me in class #BackToSchool ,1472926280,zachking,
https://www.tiktok.com/@zachking/video/138786472194719744,919300,2700000,504,0,400,1206,138786472194719744,68616495085350913,6,#barking like a dog is MyHiddenTalent ,1473431989,zachking,
https://www.tiktok.com/@zachking/video/141928945859395584,1200000,2900000,2098,0,995,3613,141928945859395584,68616495085350913,0,When a vending machine tries to steal my snack. #CanUDoAMagicTrick ,1474181213,zachking,
https://www.tiktok.com/@zachking/video/159516700902727680,1900000,5000000,683,0,639,10600,159516700902727680,68616495085350913,15,I tried the #MannequinChallenge with my friends. ,1478374460,zachking,
https://www.tiktok.com/@zachking/video/178668830477389824,1100000,3400000,1030,0,659,1464,178668830477389824,68616495085350913,14,My parents make me clean up Christmas the day after 😢#HolidayTraditions #MerryChristmas,1482940684,zachking,
